Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cat,Chrome 116.0.0.0,,,2023-08-28 11:20:19,2023-08-28 11:21:36,1m - 16.557s,PASSED
,,,,,,,
Test Cases/SignIn/Verify_Cat,Chrome 116.0.0.0,,,2023-08-28 11:20:20,2023-08-28 11:21:36,1m - 16.078s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 11:20:20,2023-08-28 11:20:25,4.353s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 11:20:25,2023-08-28 11:20:26,0.742s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Enter the Store (2)""))",Chrome 116.0.0.0,,,2023-08-28 11:20:26,2023-08-28 11:20:27,1.411s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Sign In (2)""))",Chrome 116.0.0.0,,,2023-08-28 11:20:27,2023-08-28 11:20:28,0.792s,PASSED
"setText(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_username (2)""), ""suhas3"")",Chrome 116.0.0.0,,,2023-08-28 11:20:28,2023-08-28 11:21:32,1m - 4.213s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_password (2)""), ""qg5PJjO9hfg="")",Chrome 116.0.0.0,,,2023-08-28 11:21:32,2023-08-28 11:21:33,0.682s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_signon (2)""))",Chrome 116.0.0.0,,,2023-08-28 11:21:33,2023-08-28 11:21:34,0.867s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/img (2)""), 0)",Chrome 116.0.0.0,,,2023-08-28 11:21:34,2023-08-28 11:21:34,0.571s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Sign Out (2)""))",Chrome 116.0.0.0,,,2023-08-28 11:21:34,2023-08-28 11:21:35,0.941s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 11:21:35,2023-08-28 11:21:36,0.778s,PASSED
