Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Explore_Birds,Chrome 116.0.0.0,,,2023-08-28 12:28:03,2023-08-28 12:29:17,1m - 14.001s,PASSED
,,,,,,,
Test Cases/ExplorePage/Explore_Birds,Chrome 116.0.0.0,,,2023-08-28 12:28:04,2023-08-28 12:29:17,1m - 13.724s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:28:04,2023-08-28 12:28:07,3.259s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:28:07,2023-08-28 12:28:08,0.702s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:28:08,2023-08-28 12:28:09,1.156s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Sign In""))",Chrome 116.0.0.0,,,2023-08-28 12:28:09,2023-08-28 12:28:10,0.661s,PASSED
"setText(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_username""), ""suhas3"")",Chrome 116.0.0.0,,,2023-08-28 12:28:10,2023-08-28 12:29:14,1m - 3.830s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_password""), ""qg5PJjO9hfg="")",Chrome 116.0.0.0,,,2023-08-28 12:29:14,2023-08-28 12:29:14,0.496s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 116.0.0.0,,,2023-08-28 12:29:14,2023-08-28 12:29:15,0.736s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/img""))",Chrome 116.0.0.0,,,2023-08-28 12:29:15,2023-08-28 12:29:15,0.681s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/th_Product ID""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:29:15,2023-08-28 12:29:16,0.423s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Sign Out""))",Chrome 116.0.0.0,,,2023-08-28 12:29:16,2023-08-28 12:29:17,0.726s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:29:17,2023-08-28 12:29:17,0.716s,PASSED
