Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Birds,Chrome 116.0.0.0,,,2023-08-28 12:42:42,2023-08-28 12:43:55,1m - 12.316s,PASSED
,,,,,,,
Test Cases/SignIn/Verify_Birds,Chrome 116.0.0.0,,,2023-08-28 12:42:43,2023-08-28 12:43:55,1m - 12.024s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:42:43,2023-08-28 12:42:45,2.592s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:42:45,2023-08-28 12:42:46,0.783s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 12:42:46,2023-08-28 12:42:48,1.313s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Sign In""))",Chrome 116.0.0.0,,,2023-08-28 12:42:48,2023-08-28 12:42:48,0.655s,PASSED
"setText(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_username""), ""suhas3"")",Chrome 116.0.0.0,,,2023-08-28 12:42:48,2023-08-28 12:43:51,1m - 3.057s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_password""), ""qg5PJjO9hfg="")",Chrome 116.0.0.0,,,2023-08-28 12:43:51,2023-08-28 12:43:52,0.547s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 116.0.0.0,,,2023-08-28 12:43:52,2023-08-28 12:43:53,0.795s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:43:53,2023-08-28 12:43:53,0.498s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Sign Out""))",Chrome 116.0.0.0,,,2023-08-28 12:43:53,2023-08-28 12:43:54,0.738s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:43:54,2023-08-28 12:43:55,0.703s,PASSED
